longitude,latitude,value,LandCover
147.08653,-43.07917,62.581234,2
146.88216,-41.32014,62.70342,2
145.00613,-40.78557,66.43117,10
141.70946,-38.12582,63.007507,2
141.71335,-38.12556,63.527306,2
142.4263,-37.7249,63.93738,12
141.56644,-37.49696,61.295723,9
141.57042,-37.49669,64.301056,2
141.57835,-37.49618,64.17271,2
141.58223,-37.49592,60.127396,2
141.57394,-37.49123,61.17122,9
140.01962,-37.19089,65.89539,12
140.01834,-37.18792,67.70022,12
139.99548,-37.11271,64.765884,9
140.16673,-37.09266,64.76923,10
145.85056,-36.64191,62.638836,10
145.06694,-35.57196,65.07239,12
138.28554,-35.5483,64.60744,2
142.66902,-34.82184,67.235306,10
145.76227,-34.4953,61.048443,10
145.76306,-34.49347,62.86873,10
146.21404,-34.35802,61.02828,10
146.21342,-34.35415,62.2677,10
146.21126,-34.35357,59.440437,10
145.86812,-33.7083,63.80059,10
147.70726,-33.47829,60.73894,10
147.5159,-33.26813,66.50196,10
147.87848,-33.20438,68.75765,12
136.71478,-33.18391,64.29841,10
147.18912,-33.07788,62.83914,10
146.45412,-32.97294,61.45347,9
146.4313,-32.82179,59.97374,6
146.4328,-32.82177,60.386547,6
146.43073,-32.81802,64.25047,6
146.43219,-32.81801,65.184845,6
147.08711,-32.37292,65.624626,9
147.08649,-32.3693,63.529743,10
146.66565,-31.98998,73.45918,9
146.75171,-31.84557,64.70591,6
147.90401,-31.62014,62.05353,10
146.80069,-31.09972,63.524227,9
146.80975,-31.09488,66.80649,9
146.18285,-31.04875,70.729324,9
147.4445,-31.03931,61.215466,10
146.17528,-31.03444,70.64645,9
146.18044,-31.03383,73.49406,9
146.1747,-31.03071,73.53212,9
146.16896,-31.02759,67.547714,9
146.17409,-31.02698,65.52722,9
146.16837,-31.02386,69.51689,9
146.17075,-31.02233,65.09193,9
147.25121,-30.80131,65.97416,10
147.74947,-30.71512,63.00838,10
151.00063,-30.20544,67.38561,10
151.41241,-30.20331,61.211082,9
151.41647,-30.20265,62.072147,9
150.99994,-30.20212,70.85714,10
150.99922,-30.19879,64.20077,10
149.86989,-29.88062,73.03862,10
149.12334,-29.80484,66.81624,10
151.49374,-29.6622,59.46392,10
148.56609,-29.35292,64.24779,9
148.54912,-29.35188,65.07402,9
148.55321,-29.3513,69.14096,9
148.5573,-29.35072,66.414764,9
